,PPI,PPI_mop1,PPI_mop2,PPI_mop3,PPI_life,CCPI,export,PMI_raw,PPI_expectation,mop_price,HBR_25,South_China,brent,WTI,CRB,LME_AL,cement,coal,copper,indproduct
2020/1/31,0.6,1.8,0.3,2.1,0,3.229442901,-98.6,53.8,0.48,2.139485854,0.190206609,0.210515871,-12.52182697,-10.97292921,3.049904234,3.802103036,3.228504702,5.556644185,2.068061841,1.115905585
2020/2/29,-0.5,-1.4,-0.1,-3.6,0.1,-10.31118817,98.7,51.4,-0.45,-2.35704471,-1.40461965,-11.90120718,-20.5715254,-19.96506207,-1.445246359,-5.191264187,1.004996927,1.534974192,-11.16302365,-13.55645748
2020/3/31,-1.1,-3,-0.5,-5.1,-0.2,-15.2437492,2.5,45.5,-0.84,-5.93435575,-2.818284942,-6.300866105,-37.71663748,-38.94189962,-5.509472633,-4.659712925,-2.153812909,-7.851695467,-10.30746616,-7.652541903
2020/4/30,-1.6,-3.6,-1,-7.6,-0.3,-11.93591235,6.5,42.5,-1.47,-2.966398968,-3.187235747,-3.412044121,-22.84233796,-27.51243477,-8.096884624,-7.110975355,-5.964296482,-9.782317486,-1.872596278,-5.158946757
2020/5/31,-0.6,-1.1,-0.2,-3.2,-0.4,4.825111361,0.7,51.6,-0.67,0.349501786,0.301528731,3.357422873,15.41582796,22.50976169,3.900048329,3.478098525,-0.071012043,4.38515818,8.600489394,3.265160213
2020/6/30,0.7,1.4,0.4,4.3,0.1,13.18481934,-4.1,56.8,0.17,2.653772887,3.087838998,4.718220688,21.10944214,22.13088697,1.001131808,6.851890834,-0.634837692,11.94601768,10.98234219,5.855734072
2020/7/31,0.6,1.6,0.2,3.4,0.1,4.163519435,0,58.1,0.67,1.597737316,-0.851272161,-0.141789196,5.179563632,0.649186594,2.461073731,2.323364333,-3.122615113,2.846217639,8.972907371,-0.387953556
2020/8/31,0.4,0.5,0.4,1.3,-0.1,-2.530085544,-3,58.3,0.45,1.802368646,3.227524908,5.061555776,8.289217874,6.313025546,6.089055727,8.124585913,1.391254693,-2.052021711,6.927191911,6.760608189
2020/9/30,-0.1,0.2,0.1,1,-0.7,0.598802395,-5.1,58.5,0.32,0.956502782,0.744087233,-4.302784278,-10.91831119,-7.416104632,7.270367762,0.09832747,1.223998848,4.442788219,2.912945431,-5.127294544
2020/10/31,0,0.2,0.1,-0.3,-0.4,-2.580025645,1.6,58.8,-0.42,-0.051279888,0.642311717,3.099169527,2.089658127,3.328028153,0.970428824,5.158032579,1.164793661,5.19434495,-0.09992431,4.378338269
